,Date,Review,Rating
1120,7/6/2014,"I've been wanting to come here just to see what the hype was all about since you can only get in through invites.... aaand my wonderful boyfriend made that happen for our anniversary.1. Must dress formally2. If you buy a picture from the photographer, you get a pass emailed to you to bring back up to 8 more people in the future from Sun to Thurs, I believe3. Pre-drink if you can because the drinks are on the expensive side.Food was fairly on the mediocre side with expensive prices attached to it. I feel like with the amount of people who complained about the food... that they would do something to make it tastier. My filet was tender, but it was kind of lacking some flavor. I had to eat it with some horseradish to give it a good kick. Even the dungeness crab meat on top of it didn't do much for me. When you are paying similar prices at Ruth's Chris for their steaks, you expect the same. My family are obsessed with Outback and even Outback's steaks are cooked better. My boyfriend got the herb crushed prime rib which I liked more than mine and he thought it was okay too. We got the cheesy bread as an appetizer and it was nothing to rave about. The dessert, on the other hand, was so good! My boyfriend (I don't know how he manages to always order better food than me) ordered the chocolate mousse with the vanilla bean ice cream on the side ... that was sooooooooooooooo good! The server told us that the kitchen was trying something different with the chocolate mousse and I've never had their old creation ... but I loved this one! Maybe they should fix up their steak menu a little, huh? I got the banana cream pie with vanilla bean ice cream which was good too! I think I would have liked my dessert a little more colder/chilled ... some parts of it was a little thick, but I thought it was good anything.Service was fairly good. We ordered drinks that I thought were okay.Show: Entertaining! I'm always trying to watch them closely to see how the magic unfolds but most of them are so good. The main show was fairly good, I like the last act the most with the character who played the Thing in the Addam's Family. We went to two smaller shows later and I think we both enjoyed those more. Get in line early for the shows because seats get taken up fast.Overall, I gave a good rating mostly due to the magic and not because of the food. I think it's a fun one or two time experiences that everyone should try to do if they get the chance. I think the exclusivity of it draws people in and I think that's smart.",4 star rating
1121,11/1/2012,"This place is the best for a couples date or impressing some out-of-towners looking for some Hollywood Magic! Some people have told me the food wasn't that amazing and overpriced for the quality, but I thought the fare was decent. It's included to watch the show anyways so I say fair deal. I've been to Cirque shows that costs as much and less entertaining than the Magic Castle, and they don't include dinner. I got the prime rib, and it was cooked exactly how I specified. It was juicy and even the rolls that came with the dinner was special, it had a hint of rosemary in it. Our service was impeccable, helpful in answering our questions (tobacco onions) and great timing with refills on drinks. I've never seen waitstaff dressed to the nines, he was wearing full formal attire with a swallow-tail coat! Having a formal dress code just added another layer of magic to the evening, is not often you get to play dress up! :DThe main show was fantastic, the host was on point with the wit and charm. I was blown away by the tricks and was like ""WOoooooooooooow, How did they do that?"" with every trick. The smaller side shows were just as entertaining but could use some more polishing. The mentalist, Carl Christman, had wonderful tricks that were flawlessly pulled off, but his jokes could have used some improvement, they were face-palm cheese worthy. I was once taught a simple ""vanishing"" business card trick using slight of hand. Since I couldn't master it I called it ""stupid"" in my frustration but my friend corrected me to matter what, tricks aren't stupid just the person who failed at it. :pA memorable night, long after the shows were done my group continued the fun in guessing how the magicians pulled off their tricks.",5 star rating
1122,2/26/2014,"**This review is based solely on the magic shows, not on the food.**I just visited The Magic Castle for the 2nd time. The first time was almost 6 years ago (had dinner, watched a magician friend perform). My 2nd time, I didn't have dinner at this establishment, but did get some drinks.The Magic Castle is very fun and entertaining. I got to go with a group of 6 and everyone had a great time. We went on a weeknight (much less crowded) and 4/6 of us got to assist during the shows! I especially loved the smaller, more intimate rooms (Close-Up Gallery and Palace of Prestidigitation). Take advantage of the lounge areas where magicians can perform for small groups. Even more intimate!Definitely dress appropriately. Ladies-please avoid the body-cons and platform heels. This isn't that kind of place, lol. Guys- you're required to wear dress shoes and a jacket/blazer. If you don't wear a jacket, they'll make you loan one and it will most likely cramp your style.Have fun!",5 star rating
1123,4/21/2014,TIPSSit in the front if you want to assistGo EarlyPace your drinkingLeave your cameras at homeValet OnlyCONSThe food and you HAVE to order an entree (lame)Drinks are normal price and watered downPROTry to go to the up close magic shows,4 star rating
1124,11/12/2014,"This goes down on one of the coolest things I've done in my life, thanks to my gf she brought me here for my birthday and let me tell you that is was pure amazing! We had dinner and our server Gustavo was a great server! And not to mention the food was great! I had the prime rib  and the cake topper was they brought me glass of champagne AND a slice of cheesecake! Unreal service!.....the magicians were killer good! The best acts were the up close ones and they left like ....I wish I could be a member  but I ain't rich like that  so hopefully I can return soon!",5 star rating
1125,7/25/2014,"I came here for my cousin's birthday. I've never been to any actual magic shows, so this was a pretty good experience for me. The magicians were all funny and entertaining. Each of them had their own special show and it's mostly different, so I liked that. Some of the magicians would pick a volunteer to go on stage, but I'm glad I didn't get picked lol For their dress code, you do need to dress in formal wear. You can check their website on the details for that if you ever decide to go there :)They don't alllow any photo-taking, even selfies, but if you want to have your pictures taken, there's a photographer there who will explain all the details about that.The food was really good, my cousin shared half of her kale salad that came with very thin, sliced peaches and some nuts. I got the California chicken which came with some veggies, a somewhat half sliced avocado, and pasta. Although, the chicken was a bit dry, but it was still good. Overall, I had fun, it was a good experience :)",3 star rating
1126,4/29/2014,"We decided to take advantage of some passé I bought at a charity raffle and visit the Magic Castle for my birthday. This a one of the places I have always wanted to experience, but never got around to yet. There were 3 important parts of this experience. The ambiance, the food, and the magic!  The ambiance was incredible from the moment you pulled up!  I was fascinated with the venue, and could have spent hours just wandering around and taking the historic and ""haunted"" feelings in. The food was as good as any higher end restaurant. All of our main proteins were amazing, however the garnishmenta were horrid.  The cocktails were spot on!The magic. . . Let's just say it left a lot to be desired. Defiantly entertaining, however I had much higher expectations. Definately will be back, and hopefully the next time it will be a 5 star evening!",4 star rating
1127,11/5/2012,"Finally got invited to the Magic Castle! Came here on a Sunday night with some friends...all dressed up and ready to be amazed. We enjoyed a glass of wine at the bar as we waited for our dinner reservations. The complementary bread was warm and delicious. I ordered the Macadamia Nut Crusted Sea Bass with yam puree and mango soy salsa. The fish portion was generous, but a bit on the dry side. The yam puree was good and the mango salsa was sweet. Next time I think I'll pass on dinner and go straight for the magic! We missed the first showing of the big show, so we had to wait 30-40 minutes for the next one. The show was astonishing and left me confused as to how the magician pulled off his trick!!! Only complaint I have is that we had to wait at least 30 minutes for the shows. The view from the Magic Castle is beautiful, but still not as gorgeous as the view from Yamashiro just up the hill.I hope I'll get invited again, so I can take advantage of more of the magic shows!",4 star rating
1128,4/5/2010,"From the second I set foot through the secret bookcase door I knew I was in for an epic evening. A night full of fun and questions. Where the hell did all those cards come from? The magician must have pulled 10 decks worth out of nowhere. And excuse me, how did the other guy get the $5 bill that my girlfriend actually signed inside of a lemon? I don't get it, it's crazy. The bill still smells like lemon even today.I personally feel the lower reviews complaining about the style of magic are skewed. If you're expecting Harry Potter to fly down on a broom and cast ""real magic"" in front of you then you should see a therapist. Also this isn't Vegas, there isn't a multi million dollar production with a 40 person crew to assist. This is first hand, close up magic.Appreciate the Castle for what it is. People working magic directly in front of you, sometimes merely a few feet away. I'd much rather be blown away by a master of sleight of hand in front of my eyes versus seeing a white tiger from 100 yards back in a sea of people.The magicians here are amazing, very very skilled at what they do. There is no place I've ever seen like the Magic Castle, 'unique' doesn't do it justice. We sat in a small room with less than 20 people, sitting on the edge of our seats watching a performer from Germany. Previous we were front row for a unique performance from a female magician from Tokyo, and before that an epic performer from France. Magicians come from around the globe to show their skills off here and show off is what they do.I found it quite fun to dress up, suits and ties only for the gents. Catch a few shows, eat an amazing dinner, then go back to the magic. We spent 6 hours here and it wasn't enough for me, all under the roof of one beautiful building up on a hillside.I have a feeling I'll be thinking of this night for a very long time to come. I'll think of it often, until I get another chance to visit.",5 star rating
1129,12/23/2013,"What a bizarre place-- imagine a creaky old dark Hollywood mansion devoted to magic and its practitioners.Every nook and cranny of this enchanted house is alive, from the owl that grants you entrance when you whisper the magic words, to the phone booth whose ringing phone you answer with trepidation-- I can guarantee you've never experienced anything like it.With a bar and a magician around every corner, you won't waste a minute at this otherworldly haunt.Though there's a strict dress code and a members-only vibe without the jacket, The Magic Castle is a trip you can take WITHIN the city limits.",5 star rating
1130,2/10/2015,Can't wait to go again ever since I was a jr. Magician I remember how awesome The Castle is brings me back to the days my father ninoguerrero.com used to perform there along with all the amazing magicians I will never forget. Thanks for a lifetime memories,5 star rating
1131,11/12/2015,"We went for a friend's birthday expecting to have a good night. Sadly it was anything but...It started as we entered the door. After reading the dress code thoroughly I showed up in very expensive slacks thinking I was just fine. But evidentially they do not allow back pockets to be sewn on the outside (even if fully covered by the coat!). They were dark pants with dark sticking so you pretty much had to have your head up my rear to even see them, but they held out group of eight people up because of this!! You might have thought the president of the USA was inside the building they were so over the top with my pants...When inside they hassled one of our group members for checking his phone. (Silently)We tried to order an initial drink round and the bartender was just plain rude. Dinner was better than expected but horribly expensive for what it was. And to wrap up the evening- we were told specifically to see a show downstairs. When we got there the guy was counting his money and not available for a performance! Yet, as though this isn't enough to be a miserable evening.... When we went upstairs to catch a 1030 or 11pm show (I forget right now) but after waiting 20-30minutes at the door.... The performer said the show was canceled and he wasn't gonna perform and we should go find another show...  And it was too late!!! They had all been started or otherwise full!Waste of money. Waste of time and the magic wasn't that friggin good. Sorry",1 star rating
1132,9/21/2013,"Was able to visit last night (Friday) for the first time through a friend of a friend that is a member that gave her guest passes. Even with guest passes, its $25 per person. Reservations are required- I hear Saturdays book months in advance. Valet parking $10. This is a super exclusive members only, VIP type of place. Magicians (I mean weird or nerds-jk) only, lol. I had NEVER heard of this place before. This is such an underground world to me. Who knew magic was so ""cool??"" The place was packed with people of all ages and colors (friends and I in our late 20s but definitely saw some 30 somethings, 40 somethings and even 50 and 60 somethings). I saw Asians, African Americans, Caucasians, etc.  Anyway, this year, the castle is celebrating its 50th anniversary. Strict dress code enforced for men and women (see website). Men are to wear suit and tie/blazers and women in cocktail dresses or skirts. NO JEANS, NO SHORTS/SWEATS, etc.The castle's interior: paint, furnishings are dated and just might be the originals. The castle is hard to navigate-finding the shows/rooms was confusing. They are also super strict on photography. No photos allowed. I guess I understand that since its magic but I found it annoying we were told no photos in the dining area. We were no where near a show or magician and the photo was of US...we saw other people taking pics in the dining area. Since we had dinner reservations at 9:45pm, we got tickets to the main show. The main show was totally worth it.  The weekly schedule rotates so magicians far and wide perform there, I don't follow magicians/ magic world so they all seemed really good and entertaining to me. The shows we watched were totally scripted (which is fine) but i def appreciated the comedy side to the show as well as the magic. To sip: had the Lovely Assistant ($14) but tasty also the Magic Castle bubbly (yummm).Dinner: Had reservations at 945, appetizer (calamari- liked the sauce and calamari was good too) came out quick but entrees came an hour later. I had the salmon- enjoyed every bite of it. Did not care for the veggies on my plate :(. The rice, however was delicious. The bread was awesome! I could def taste some cinnamon in those rolls! Dinner for 4: appetizer (calamari, 4 entrees (2 salmon, 1 lamb, 1 chicken) and bottle of bubbly= $200). My friend complained his chicken was dry but enjoyed the lentils. My friend with the lamb asked for medium cook on the lamb but lamb was totally rare and very bloody :/). We saw one show at the Prestidigititation at 930 and the main show at 1130pm and an up close magician around 12:15 or 12:30. Get there early to get the most bang for your buck to watch more shows. The shows can only seat so many so the shows fill quickly. No standing room allowed. The place is huge! I'm sure we did not see the entire thing. Seems like it would be an awesome place for a haunted house or halloween party. I would love to return if I ever got the opportunity- not likely. Go if you have the opportunity! Talented people, great entertainment.",5 star rating
1133,1/9/2017,"God I love this place, gets better and better each time I go. Great food, super entertaining and just an overall amazing experience.",5 star rating
1134,5/18/2014,I have been a member for a few years. It is an amazing date night and a great place to bring your kids on the weekends for brunch. The food is decent but the Magic is one of a kind. Each and every time I go I enjoy the magicians. Keep up the great work.,5 star rating
1135,9/26/2014,"One of those places you could try once for the experience, but I think it's a little overpriced. It's super exclusive, as you can only come if you're a member, a guest of a member, or a guest of a magician that shows at Magic Castle.PARKING: It's Hollywood. Valet only. FOOD: Mediocre at best. Had the SPICY AHI TUNA - rice was not cooked well. Pretty sure it wasn't sushi rice. Tried the BEEF WELLINGTON and it was okay, nothing special. MAGIC: Get there early to catch the shows! Ask the front desk because they'll give you recommendations on when to line up for shows and the timing of it all. My favorite was the close-up gallery because it was a more intimate show and the magician that night was really good! There was a female magician and she was NOT funny. She kept laughing with someone in the audience about inside jokes and it was awkward. No one watching thought she was funny so she even made jokes about her not being funny... and still no one laughed. I guess there really is a reason why there's very few female magicians in the game. We got to watch another show after that show finally ended and he was funny but I figured out the magic and it wasn't as magical after that. The last show of the night which we got tickets for was pretty good too - there were two magicians and they did separate shows but played off each other and split their time evenly. However, it was easy to figure out the magic there as well! MISC: Irma the piano will play whatever you want, just ask her. Enter into the door of the Magic Castle by saying ""open sesame"". I hear the bartenders downstairs will do magic tricks as well, but they weren't open the night I came.OVERALL: It was a beautiful night to spend with friends for the experience, dressing up and getting to take pictures at the ""red carpet"". They need some better magicians and food though to make it worth the money!",3 star rating
1136,6/6/2012,"I'm glad this Castle survived the fire of a few months ago.I've always been a fan of magic. I still remember when I got my first Magician's Starter Kit when I was a pup and I almost cut my uncle's expensive tie... he was very nervous and sweating but I read the manual well and practiced haha! But anyway...I've come here a few times and I've had a blast every time. You end up making new friends. When you go around a big holiday, their shows will be holiday themed. The best shows for me were during Halloween season in Oct. I was almost on the floor laughing. These magicians are PROS, so good... they can mess up a trick but still pull it off at the end. They rotate and have different magicians from all over the world every week.Wear your best jacket and tie. Start at the bar before the first show starts. I've had their lobster bisque and it was really good.Valet only. Make sure you go early to relax at the bar and wait for the first show.",4 star rating
1137,8/6/2017,"I was completely disappointed from the time we arrived until I felt happy and relieved to get the heck out of the place. We went on an very busy night however that does not excuse the lack of any courtesy for the guests. We booked this two weeks in advance for my wife's birthday and was given one of the worst tables. When my daughter questioned the hostess we received a very uppity remark of not being part of the regulars and knowing. The food and service were excellent. A far cry from the last time we attended years ago. Going to the various attraction as I am temporarily handicapped was a nightmare.The chairs in the rooms are on top of each other and if you need to stretch you leg..it's not happening. The whole place is stairs and their is no seating whatsoever around the bar unless you happen to get a break to sit in a space. People just lounged forever not making it at all possible to get near the bar. Forget the smaller rooms..they were a tiny joke. Even trying to find a place to sit just to wait for our group to leave at the valet service was not possible. Not one chair anywhere. Don't bother to call. I did and spoke with the managers assistant and then the manager. Once speaking to the manager it became quite obvious that his attitude was well represented by the staff.  They probably heard this before, or quite frankly could not care less. The place is busy and they don't need my business to stay open. Just not to friendly if you have any special needs. I realize this is a very old and historic building and is a treasure, however some minimal accommodations such as a couple of reserved handicap places to sit or seats in the shows might make a huge difference for those in need. The ADA should visit this place one day.",1 star rating
1138,8/22/2013,"I had a... dare I say it? MAGICAL experience at Magic Castle. (Please, hold your groans until the end of the review.)My friend and her boyfriend were visiting me recently and said SO is a huge fan of magic (the skill, not the card game). When they arrived in LA, they told me that he had obtained a temporary membership to Magic Castle and had reservations on a weekday. We were warned that we needed to be dressed appropriately--men in jackets and ties, ladies in appropriate evening wear. I was over the moon; I couldn't believe I'd have the opportunity to visit this mansion after I'd heard so much about its exclusivity!I don't want to give away too much so as to not spoil the experience if/when you get the chance to go. I will say a few things, however:- DO NOT take pictures. I know, this is a really stupid thing to say because they'll have it posted everywhere. But I was that one person that took pictures at dinner and made a dining magician angry at me. So no pictures inside of the castle, if you don't want to be yelled at like a naughty child. - It is totally worth waiting for the Close-Up Gallery. Check the times on the pamphlet you receive at the door and plan your time accordingly. As soon as we finished the headlining show at the Palace of Mystery, we made a beeline upstairs to the Close-Up Gallery line and got great seats. If I remember correctly, the theatre seats less than if not around 20. Out of the three shows I saw that night, this one impressed us all the most!- The food is tasty, but not anything remarkable. Standard steakhouse fare such as prime rib, salmon, frites, garlic bread, etc. All of it is richly flavored (read: butter-laden) but delicious. Yes, the price is high--but when you think about the magicians and the experience of being at the Magic Castle itself, the price is negligible compared to the experience.- If you sit in the front, you are volunteering yourself as a participant in the show. Out of my group of 6, 3 of us were either called on stage or used as a talking point. Honestly, if you don't mind the attention, it makes the shows that much more engaging and enjoyable! - Ties are absolutely mandatory for gents, and they actually have a few at the front concierge in case people forget to bring their own. - Make sure you enunciate your song requests to Irma the Piano Ghost clearly. Her catalog is quite impressive!  The staff here is incredibly professional and nice, and they all have a very wry sense of humor. The decor is fascinating--you'll never get tired of looking around, whether you're waiting in line or enjoying a drink. If you have the connections and resources to visit The Magic Castle, I would say this is a MUST VISIT attraction for Los Angeles--whether you live here or you're visiting! Keep an open mind and get ready for one of the most entertaining ways to spend your night in the city.",5 star rating
1139,7/2/2013,"Privilege Privilege Privilege... that's what going to the Magic Castle is!My goodness I could truly use all 5000 characters telling you about this cool place that makes one feel like a kid again... but professionally and tactfully.Yes you do need to be either a MC member or a guest of a MC member to dine here.The first thing you need to know if you are going here is that you're going to want to check out their website! They have a pretty strict dress code that you must adhere to in order to gain entrance. Also... if you're driving then it is all valet. These aren't bad things... just a heads up... after all.... it's only one magical night!They have various dining times which are available to check out on their website. This is because when you go to this magical place if you'd like then you are treated to various types of magic shows from close up magic to well who knows (you really do because if you look at the website you can see who the performers are and do a little research on them.)Birthdays (especially with multiple people) prove especially fun, so you can share in the joy.In the main bar hangs out their ""resident ghost"" Irma with whom you can ask to play any song you'd like and she'll start playing it on her piano. It's very cool. I asked her to play ""Paint it Black"" by the Rolling Stones and she totally did and right away. It was amazing. I don't know if she knows uber-current songs or not... guess you'll have to find out. Irma does love tipping and that definitely helps getting your song played. A little tip... Ask Irma ""what the saddest song ever written is"" The response is rather humorous. There are other little tricks in the bar, but I don't want to spoil everything for you.While the food proves to be very good trust me when I tell you that this is not a destination for Foodies. I don't say that in a bad way. I say that because when you look at the price at the end of the night you can't look at it as how much you paid for your meal so much as how much you've paid for your whole experience.There are many many bars here so if you want to get your drank on then you are definitely in good hands... heck even the shows have Cocktail Servers!Normally the MC is 21+ with the exception being on Saturdays and Sundays for Brunch.In addition to the price of your food (which I believe has a minimum) there is also a show fee per person that can be waived if a member is present with you.To help keep things secretive and mysterious the MC does not allow cameras inside...yes that means even the one on your phone. You're more than welcome to snap shots outside... just not inside.If I could afford it then I'd probably be here every week as it is so fun!",5 star rating
1140,1/18/2011,"One of my best friends got a one month Open Sesame membership to the Magic Castle for her birthday.  I went with her twice, and based on those two experiences can firmly say the place is hit or miss.The venue is worth checking out if you have the opportunity.  I like the set-up - once you go in, you say ""Open Sesame"" to an owl statuette, and a mock bookcase swings open.  The castle is split into several rooms, with a couple bars and plenty of places to lounge and sit.  A ghost pianist entertains in a downstairs room, taking requests ranging from Christmas songs to Bohemian Rhapsody.  The decor is a mix of classic and goofy - dark wood and old carpeting, with hundreds of photographs of hammy magicians on the walls.  I like that the formal dress code keeps the place feeling fancy.Even so, my first visit left me feeling like I had taken $28 and lit them on fire.  I paid the guest cover of $20 and guest valet of $8.  It was a Monday night, and we arrived some time after ten o'clock.  I was expecting to catch at least one show in the main room, and my friends and I waited patiently for it to start.  When the time came, no one came to tell us that it was canceled.  We had to sniff it out for ourselves.  We then caught a show in one of the side rooms that was positively lame.  I felt like I was at an eight-year-old's birthday party.  The magician was introduced as someone who ""combines magic and performance art.""  I wanted to shout, ""OH.  You mean he's a magician and not a wizard?""I was so annoyed with my experience that I actually complained to the manager.  He didn't offer a refund, which I think should be the policy when guests are allowed in late to find canceled shows.  Instead he looked for a VIP pass.  He'd run out, though, so he told me vaguely that if I came in again, and if he were working that day, my cover would be waived.  He was nice about it, but unhelpful.  To cap it all off, the girl working the front was pretty bitchy.My second visit was worlds better than the first.  I went with a bigger group of people, and this time my friend used her one free pass on me.  Member valet was a saner $3.  This time we went a little before eight and stayed until near closing and took in a lot of magic.  We watched one show in the same side room as my first time, and while it was still kind of cheesy at times, it was much better.  The magician picked a bunch of volunteers - all Asian, interestingly enough - and had them draw on pieces of paper.  He then guessed who had drawn what and even reproduced one drawing, which was cool and eerie.  We also enjoyed the magic going on throughout the castle.  The card tricks and other table magic were really remarkable, and definitely more impressive than what I saw on stage the first night.I almost wrote the Magic Castle off forever when we were turned away from a showing of the main show, then almost turned away from the last one of the night.  Turns out, all diners at the Castle get tickets to these shows included in their meals, and in order to make it in without spending a ton on mediocre food is to be one of the first people in line.  We just made the cut-off, but many people were turned away while diners strolled in.I'm glad we made it.  The show was a riot, with three talented acts performing back to back.  One of them was that Pendragon guy who went to jail for assaulting his wife.  We saw him saw his assistant in half in clear boxes.  I'd never seen that trick done live, and it was actually mind-boggling.  After that show, I was happy I'd given the place another chance.As it turned out, the manager from the last time was there, and I tracked him down late in the evening.  He had VIP passes on him this time and gave me one, which I may or may not use.  It gives me and guests free entry into the Castle provided that I make a dinner reservation.  I don't think I want to pay for dinner here.  I haven't tried the food, but the wine they have at the bar is actively bad.I think I may have reached my peak enjoyment of the Magic Castle anyway.  While entertaining, the magic does seem to be a bit repetitive.  In two visits, I've seen the newspaper ripping trick at least three times, and the string cutting trick at least four or five.  Still, I had a great time on my second visit, and if you're interested in a fun night of magic, I suggest you seek out a member and check this place out.",3 star rating
1141,5/27/2014,"I went to the Magic Castle this past weekend. I really didn't know what to expect. In fact, I never even heard about it until two weeks ago. When I asked friends if they'd ever been, most of them who said yes said it had been a long time since they'd been and hadn't much memory about the place. All I knew going into this place was that the dress code was super strict and the group I went with made sure to insist on not going outside of the recommended dress code or they wouldn't let me in. I thought, wow, really? Well, my experience of the Magic Castle was great! It's not a place for kids, but a great place to let your thoughts wonder and be impressed on people's years of repetitive focus on one skill, astonish their audience. It was neat that there were ""ghost"" stories of the different rooms and how if you stood in a certain place at a certain time you could hear and maybe see things... that was trippy! I didn't see anything but was in awh about the stories that were being told and the magic tricks that were being performed. Seriously would recommend this place for a ""different"" type of evening. Very fun, unexpected adventure and very much appreciated talent all around the castle.",5 star rating
1142,5/31/2013,"It's amazing how one experience can turn a whole entertaining night sour. Don't get me wrong, 90% of the magicians here are AMAZING and fun to watch. Bravo magicians/illusionists... Bravo Bravo. That being said, this review is solely directed to the bartender that is desperate for money. She shamelessly demanded more money like a 3rd world minimum wage hooker. I'm the type of guy that thinks people deserve what they earn. For instance, when a Las Vegas taxi driver goes the extra mile to entertain you with stories just to make sure you have a good time instead of just driving silently, they deserve more. When a maid gives you the extra care you didn't ask for to clean up your hotel room, they deserve more.... HOWEVER, when a bartender w/ no particular customer service demands more money because they think whiskey on ice drinks are financially hard to make, they deserve to be fired. Managers of this Magic Castle, please use your magic employment power and get rid of this old desperate bartender. You can hire one that is much younger, better-looking, and most importantly know how to have manners in such establishment. Thank you.",2 star rating
1143,1/1/2017,"It was such a nice experience I have to say. Not everyone has the chance to get it and I was there for my anniversary with my bf. The magic shows were really fun to watch, I actually really enjoyed them. Food wise is not too bad! Just as I expected. I would definitely return if I have the chance to go again!",4 star rating
1144,7/8/2006,"Cool cool cool. And I don't even like magic! It's definitely an experience coming here and something that's not to be missed.Two thoughts...Plan on spending more money than you expected here. It's kinda like Disneyland, you know a coke shouldn't be $134 dollars, but screw it, it's Disneyland. The Magic Castle is similiar to that.Don't order the steak unless you don't mind spending waaay too much for an average meal. I think it was over $40 for what I considered a pretty sub par steak and for that kinda money you could go to JAR and really make your meat senses tingle.All in all, it's a great chance to get all gussied up and have fun with some friends or the person you're banging, so enjoy it, ya only live once!",4 star rating
1145,2/16/2014,"Make dinner reservations the food is tasty! The filet oscar special was cooked to perfection and the garlic mashed potatoes are comfort food at its best! Caesar salad was a bit over the top with anchovy, I think they put them on it then took them off. Just to salty, we it was good. Other guests at my table ordered prime rib and said it was perfect. Rack of lamb and was thrilled. Say away from the spell binder wine it's made with headache grapes. Go for the Pinot Noir! If you have a food allergy, they are really good and protective to be sure they understand what can and can't be cooked together. To my surprise it is accessible but only some of the floors which I am absolutely thrilled about. Since I know a few people that would love it! And they are easy going to go along and enjoy it! The shows: have dinner get the golden ticket to the main show! I've seen two main shows and both were fabulous! The parlor is fun too. However both times I have been here, I've found random up close magicians not on the program that stole the show! ( glad it wasn't my watch!, they are that good) Great for a date! Great time to talk between shows and wandering around the grounds. The security guard Joey was polite, friendly and so helpful!",5 star rating
1146,2/22/2014,"Had the pleasure of going to the Magic Castle the other night, and right off the bat we were denied entry because my bf was wearing his ""fakey dress shoes"" (Cole Haans with flywire). Let this serve as a warning...they are SERIOUS about the dress code!! The bouncer told him he'd have to wear loaners (didn't know they had any) and that they were really ugly brown numbers. He ended up changing into a spare pair he had in his trunk, and the bouncer winked at me conspiratorially that I'd much have preferred he rock the loaners. I opted to go more casual myself with a day dress and some flats and felt sorely underdressed when I saw ladies in full evening attire.Dress code aside, we were granted access and with an ""open sesame"" to the little owl we entered a sprawling room with a bar crowded by guests. Had the pleasure of watching a gentleman do some tricks randomly to the side of the bar. That's the beauty of the joint, it's crawling with magicians who love to show you their tricks. He had an arsenal of card tricks that oohed and ahhed us until it was time for dinner.A place like the Magic Castle doesn't particularly scream ""good eats"" to me, so I was pleasantly surprised with the quality of our meal. Shrimp cocktail, calamari, truffled fries, cheesy garlic bread were all great starters to the meal. I opted for the rack of lamb, which was a generous portion of chops cooked wonderfully and was very tender and juicy. The banana creme pie and coffee were nice finishers for the meal, only we were whisked off to catch the big show. Probably should go for an earlier dinner seating than 9 if you want to get a more full experience.The big show was a delight. The host magician came out and did a few bits, then he segued into the two other acts. We had the pleasure of witnessing the ball trick, the rope trick, and the rings from our host. The first guest magician was the balloon man, who did some very entertaining things with a very large balloon. Then the host came back out and had some fun with a sword and a very rambunctious audience member. He also pointed out a lady that had a ballerina pink dress and a feather muff for a purse. The final magician was a true delight, making doves appear out of blazing scarves, and turning them into a dog!! After the show we were able to get back down to business and watch close-up magic shows to our hearts' content. Pretty cool way to spend a Thursday night.",4 star rating
1147,8/26/2014,"The absolute greatest time ever!!!! The food was fantastic!!!! Prime rib, beef ribs, potatoes, crab legs, great salad bar, on and on. So much to choose from and everything cooked to perfection. As for the main reason I was there... Several chose up magicians performed some amazing tricks. I have followed magic my whole life ( I turned 60 at the magic castle) and am always amazed at sitting right there in front of the performer and not see how he did what he did. also the main show was flawless with great laughter, outstanding performances by several magicians. Made my day and my birthday in forgettable. I now have the opportunity to join and help further magic through the ages. No question, I'm there. A fantastic, must see experience for all a Ages.",5 star rating
1148,1/17/2017,"Our first time was dinner a few months ago and we were blown away!  Food and service was amazing and of course, it truly was a magical night!  Couldn't wait to comeback.. and we were given a chance to, and the best part was that we were able to bring the kids for brunch this past Sunday, January 15, 2017.  Once again, we were blown away!  The entire staff, especially Ms. Kate who was truly wonderful, were all amazing.  They took very good care of us and the kids were enthralled with all the magicians, including Invisible Irma, to say the least.  Would love to be invited again!",5 star rating
1149,12/21/2014,Below is the ONLY relevant information you need for this place and it only applies to guys. WEAR A JACKET AND TIE. This is mandatory! They will give you one if you don't arrive with one. Food and shows will speak for themselves.,4 star rating
1150,1/14/2015,"I want to be clear that my experience at the Magic Castle was fantastic- the place was clean, amazing, great friendly, knowledgeable staff, really a magical experience. The only reason I'm writing a review (or giving it 3 stars), is because I heard that this was one of the top restaurants in LA. Yes, the food was good and the service was ok, but after hearing that this was top on LA's list, I had to interject:I was in last week and my server was Richard. He was friendly, knew about the menu and added the additional charisma and character that makes good experiences. That being said:We weren't drinking wine. Our wine glasses stayed on our table until about halfway through the meal, when a bus boy noticed and took them away for us (i had asked if they could remove mine earlier to make room, and they only took mine. The other 5 we had collected at the end of the table hoping someone would notice). They were in our way and cluttering the table. He should have removed them once he found out that we would not be using them. We had two people drinking soda at the table. Not only did we have to ask for refills ourselves (empty glasses for close to 10 minutes at a time before we finally asked for refills), but he forgot to bring them a total of three times. Two guests were without drinks for a total of almost half the meal in between asking and having to re-ask about refills. When we all had ordered, my friend's prime rib had been turned into salmon- he corrected himself, but when he brought our dishes, he had forgotten to switch out one of his sides like he had asked. So the service was just that- Ok at best. If I had been at a mediocre restaurant, I wouldn't have batted an eyelash, but hearing that this was one of the top restaurants made me laugh. I have been to many four star restaurants in the states, a few michelin star restaurants in Europe and had I been bringing out of town guests, I would have been embarassed. Such tiny mistakes but they make such a big difference.  Only in regards to the service. Everything else (including the food) was great.I will definitely go back again, I will just have to have lower service expectations.",3 star rating
1151,3/4/2017,Great experience! Magicians were friendly and entertaining. Food was delicious. Would go back again!,5 star rating
